"","uid_max","visitor_access_level","total_days","other.web.sites","search.engines","social.networks","typed_bookmarked","Purchase.IDs","product","last_touch_referrer"
"2331","481476","subscribed",34,4,2,0,44,"D6225479","Digital Only - Annual","typed/bookmarked"
"2332","481488","reg",1,0,0,0,1,"D6043124","Digital Only - Annual","typed/bookmarked"
"2333","481721","subscribed",27,18,24,0,52,"D6041889","Digital Only - Annual","search engines"
"2334","4820565264411297667_1375660202873413170","reg",1,0,0,0,1,"D6064397","Digital Only - Annual","typed/bookmarked"
"2335","482119","subscribed",2,0,0,0,2,"D6103932","Digital Only - Annual","typed/bookmarked"
"2336","482160","subscribed",8,1,0,0,8,"D6030503","Digital Only - Annual","typed/bookmarked"
"2337","483233","reg",6,0,0,0,6,"D6227058","Digital Only - Annual","typed/bookmarked"
"2338","483693","reg",1,0,0,0,1,"D6042330","Digital Only - Annual","typed/bookmarked"
"2339","484041","subscribed",10,3,1,0,16,"D5940472","Premium (Digital + Print)","search engines"
"2340","484203093769077809_122049089600226865","anonymous",1,0,0,0,1,"D6042855","Premium (Digital + Print)","typed/bookmarked"
"2341","484370","subscribed",5,1,0,0,4,"D6234606","Premium (Digital + Print)","typed/bookmarked"
"2342","4844775664462851240_5311875951657407048","anonymous",1,1,0,0,0,"D5940738","Digital Only - Monthly","other web sites"
"2343","4847200117085214709_4819942028833164976","anonymous",1,0,0,0,1,"D6234563","Premium (Digital + Print)","typed/bookmarked"
"2344","485111","reg",1,1,0,0,0,"D5925638","Digital Only - Annual","other web sites"
"2345","485395","subscribed",38,0,2,0,51,"D6225022","Premium (Digital + Print)","typed/bookmarked"
"2346","485858","subscribed",1,0,1,0,1,"D6090097","Premium (Digital + Print)","search engines"
"2347","4858779216705106268_616841480235593932","anonymous",1,0,0,1,0,"D6274809","All Access","social networks"
"2348","4861512779767069320_8199325001875124628","anonymous",1,0,0,0,1,"D6225097","Digital Only - Annual","typed/bookmarked"
"2349","4864620450774288943_5255214197394036565","anonymous",1,0,0,0,1,"D6296129","Digital Only - Monthly","typed/bookmarked"
"2350","4870039915183516114_5183486064970926480","anonymous",1,0,0,0,1,"D5938296","Digital Only - Annual","typed/bookmarked"
"2351","487229","subscribed",9,0,0,0,9,"D6072947","Premium (Digital + Print)","typed/bookmarked"
"2352","488395","reg",2,1,0,1,0,"D5925006","Premium (Digital + Print)","other web sites"
"2353","488739","subscribed",1,0,0,0,1,"D6001153","All Access","typed/bookmarked"
"2354","489091","subscribed",2,0,0,0,2,"D6055967","Premium (Digital + Print)","typed/bookmarked"
"2355","4894205447140441033_7377689630149160045","anonymous",1,0,0,0,1,"D6269517","Premium (Digital + Print)","typed/bookmarked"
"2356","489607","anonymous",1,0,0,0,1,"D6174280","Premium (Digital + Print)","typed/bookmarked"
"2357","4909449197276734140_1616847916373615786","anonymous",1,0,0,0,1,"D6271344","All Access","typed/bookmarked"
"2358","491006","subscribed",45,2,0,0,66,"D6264156","Digital Only - Annual","typed/bookmarked"
"2359","4910996935092010682_8648227057274610138","anonymous",1,1,0,0,0,"D5926180","Digital Only - Annual","other web sites"
"2360","492289","anonymous",1,0,1,0,0,"D5917504","Digital Only - Monthly","search engines"
"2361","4927054842933269478_2254922813803741618","anonymous",4,0,5,0,0,"D6296526","All Access","search engines"
"2362","493142","subscribed",47,23,0,0,59,"D6225969","Digital Only - Annual","typed/bookmarked"
"2363","494273","anonymous",2,0,0,0,3,"D6003042","Digital Only - Annual","typed/bookmarked"
"2364","494463","subscribed",12,4,1,0,13,"D6088417","Digital Only - Annual","other web sites"
"2365","494487","anonymous",1,0,0,0,1,"D6225711","Premium (Digital + Print)","typed/bookmarked"
"2366","494655","anonymous",1,0,0,1,0,"D6066593","Digital Only - Monthly","social networks"
"2367","494726","subscribed",64,16,2,0,87,"D6305522","Premium (Digital + Print)","typed/bookmarked"
"2368","494932","reg",2,1,1,0,0,"D6030639","Digital Only - Monthly","other web sites"
"2369","495021","subscribed",32,58,3,0,90,"D6056389","Premium (Digital + Print)","typed/bookmarked"
"2370","4951420846230730939_5524578683384043944","anonymous",2,1,0,0,1,"D6297337","Digital Only - Monthly","typed/bookmarked"
"2371","495207","subscribed",11,0,2,0,11,"D6088425","Digital Only - Annual","search engines"
"2372","495211","subscribed",46,0,0,1,75,"D6154301","Premium (Digital + Print)","typed/bookmarked"
"2373","4954743504336045613_1534173946716931139","anonymous",1,0,0,0,1,"D6259026","Digital Only - Annual","typed/bookmarked"
"2374","4956037952358656767_5347610508236267641","anonymous",1,0,1,0,0,"D6274962","Digital Only - Monthly","search engines"
"2375","495805","reg",4,0,4,0,1,"D6102744","Digital Only - Annual","search engines"
"2376","496903038181752063_458036945225023977","anonymous",1,0,0,0,2,"D6154542","Digital Only - Annual","typed/bookmarked"
"2377","497314","subscribed",4,0,0,0,4,"D6259068","Digital Only - Monthly","typed/bookmarked"
"2378","4983649926263505017_8923186292722554665","anonymous",1,1,0,0,1,"D6074877","Premium (Digital + Print)","other web sites"
